episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
97,C,-21.74,-43.40,0.15,0.30,0,0.00,100.00,Yes,441,77,1
97,A,-6.28,-12.53,0.12,0.24,0,0.00,100.00,Yes,0,363,2
97,B,1.42,2.84,0.11,0.22,0,0.00,100.00,Yes,0,286,3
98,C,-61.08,-121.92,0.10,0.20,0,0.00,100.00,Yes,0,911,3
98,A,-61.09,-121.93,0.11,0.22,0,0.00,100.00,Yes,0,911,2
98,B,10.73,21.42,0.12,0.25,0,0.00,100.00,Yes,193,0,1
99,C,-18.24,-36.40,0.16,0.32,0,0.00,100.00,Yes,460,23,1
99,A,-8.58,-17.13,0.12,0.23,0,0.00,100.00,Yes,21,386,2
99,B,-6.28,-12.54,0.10,0.21,0,0.00,100.00,Yes,0,363,3
100,C,-28.64,-57.17,0.15,0.30,0,0.00,100.00,Yes,529,58,1
100,A,18.22,36.36,0.12,0.23,0,0.00,100.00,Yes,0,118,3
100,B,24.03,47.96,0.12,0.23,0,0.00,100.00,Yes,0,60,2
101,C,-26.06,-52.01,0.12,0.23,0,0.00,100.00,Yes,507,54,3
101,A,-27.88,-55.65,0.12,0.24,0,0.00,100.00,Yes,0,579,1
101,B,-22.48,-44.87,0.11,0.22,0,0.00,100.00,Yes,162,525,2
102,C,-26.54,-52.98,0.15,0.29,0,0.00,100.00,Yes,73,493,2
102,A,-48.67,-97.15,0.14,0.27,0,0.00,100.00,Yes,294,493,1
102,B,30.03,59.94,0.12,0.24,0,0.00,100.00,No,0,0,3
103,C,-25.24,-50.38,0.16,0.31,0,0.00,100.00,Yes,524,29,1
103,A,27.12,54.13,0.11,0.23,0,0.00,100.00,Yes,0,29,3
103,B,30.03,59.94,0.12,0.24,0,0.00,100.00,No,0,0,2
104,C,-52.17,-104.13,0.11,0.22,0,0.00,100.00,Yes,0,822,3
104,A,-57.87,-115.52,0.12,0.25,0,0.00,100.00,Yes,0,1305,1
104,B,-18.27,-36.47,0.12,0.24,0,0.00,100.00,Yes,0,483,2
105,C,-24.14,-48.18,0.16,0.31,0,0.00,100.00,Yes,436,106,1
105,A,-28.38,-56.65,0.12,0.24,0,0.00,100.00,Yes,0,584,2
105,B,-17.78,-35.48,0.11,0.22,0,0.00,100.00,Yes,30,478,3
106,C,-61.08,-121.92,0.10,0.20,0,0.00,100.00,Yes,0,911,3
106,A,-61.08,-121.93,0.11,0.22,0,0.00,100.00,Yes,0,911,1
106,B,30.03,59.93,0.11,0.22,0,0.00,100.00,No,0,0,1
107,C,-28.84,-57.57,0.15,0.31,0,0.00,100.00,Yes,510,79,1
107,A,22.12,44.15,0.12,0.23,0,0.00,100.00,Yes,0,79,3
107,B,30.03,59.94,0.12,0.24,0,0.00,100.00,No,0,0,2
108,C,-53.48,-106.74,0.10,0.21,0,0.00,100.00,Yes,0,835,3
108,A,-54.48,-108.74,0.11,0.23,0,0.00,100.00,Yes,0,1251,2
108,B,-11.58,-23.11,0.12,0.23,0,0.00,100.00,Yes,0,416,1
109,C,-29.35,-58.57,0.13,0.25,0,0.00,100.00,Yes,594,0,3
109,A,30.02,59.91,0.11,0.22,0,0.00,100.00,No,0,0,1
